iter	Passed	Remaining
0	54	54822
1	55	27918
2	56	18829
3	57	14283
4	58	11572
5	58	9769
6	59	8485
7	60	7510
8	61	6753
9	62	6144
10	62	5643
11	63	5230
12	63	4853
13	64	4552
14	65	4291
15	66	4063
16	66	3868
17	67	3672
18	68	3514
19	68	3370
20	69	3240
21	70	3121
22	70	3011
23	71	2914
24	72	2820
25	73	2746
26	74	2674
27	74	2600
28	75	2532
29	76	2472
30	77	2414
31	78	2359
32	78	2309
33	79	2260
34	80	2213
35	81	2170
36	81	2128
37	82	2090
38	83	2050
39	83	2015
40	84	1979
41	85	1945
42	86	1914
43	86	1884
44	87	1854
45	88	1825
46	88	1801
47	89	1776
48	90	1753
49	91	1729
50	91	1706
51	92	1685
52	93	1665
53	93	1645
54	94	1627
55	95	1606
56	95	1587
57	96	1567
58	97	1551
59	97	1534
60	98	1519
61	99	1502
62	100	1487
63	100	1473
64	101	1461
65	102	1449
66	103	1438
67	104	1426
68	104	1413
69	105	1402
70	106	1391
71	106	1378
72	107	1367
73	108	1357
74	109	1346
75	109	1336
76	110	1326
77	111	1315
78	112	1306
79	112	1296
80	113	1288
81	114	1280
82	115	1270
83	115	1261
84	116	1252
85	117	1244
86	117	1236
87	118	1228
88	119	1221
89	120	1214
90	120	1206
91	121	1199
92	122	1191
93	122	1185
94	123	1178
95	124	1170
96	125	1164
97	125	1158
98	126	1152
99	127	1145
100	127	1139
101	128	1133
102	129	1127
103	130	1121
104	130	1115
105	131	1110
106	132	1105
107	133	1102
108	134	1098
109	135	1092
110	135	1087
111	136	1082
112	137	1076
113	137	1071
114	138	1067
115	139	1063
116	140	1057
117	141	1056
118	142	1053
119	143	1050
120	144	1046
121	144	1040
122	144	1033
123	145	1029
124	146	1025
125	147	1022
126	148	1017
127	148	1013
128	149	1009
129	150	1005
130	150	1000
131	151	996
132	152	992
133	153	988
134	153	985
135	154	980
136	155	977
137	155	973
138	156	969
139	157	966
140	158	963
141	158	959
142	159	956
143	160	954
144	161	950
145	161	947
146	162	944
147	163	942
148	164	939
149	165	935
150	165	932
151	166	928
152	167	925
153	167	922
154	168	919
155	169	916
156	170	913
157	170	910
158	171	906
159	172	904
160	172	901
161	173	899
162	174	896
163	175	893
164	176	891
165	176	888
166	178	888
167	179	888
168	180	889
169	182	889
170	183	889
171	184	889
172	185	888
173	186	887
174	188	887
175	189	885
176	190	884
177	191	885
178	192	883
179	193	881
180	195	882
181	196	881
182	196	878
183	197	875
184	198	873
185	199	872
186	200	870
187	201	868
188	201	866
189	202	865
190	203	863
191	204	861
192	205	859
193	206	857
194	207	856
195	208	854
196	209	853
197	210	853
198	211	851
199	212	850
200	213	849
201	214	847
202	215	847
203	217	847
204	218	847
205	219	845
206	220	843
207	221	841
208	221	839
209	222	838
210	223	836
211	224	834
212	225	833
213	226	831
214	227	829
215	228	828
216	229	827
217	230	826
218	231	825
219	232	823
220	233	822
221	234	820
222	234	818
223	235	816
224	236	814
225	237	812
226	237	810
227	238	808
228	239	806
229	240	804
230	241	802
231	241	800
232	242	798
233	243	796
234	244	794
235	244	792
236	245	790
237	246	788
238	247	786
239	247	785
240	248	782
241	249	780
242	249	778
243	250	777
244	251	775
245	252	773
246	253	771
247	253	769
248	254	767
249	255	766
250	256	764
251	256	762
252	257	760
253	258	758
254	259	756
255	259	755
256	260	753
257	261	751
258	261	749
259	262	747
260	263	745
261	264	743
262	264	742
263	265	740
264	266	738
265	267	736
266	267	735
267	268	733
268	269	732
269	270	730
270	270	728
271	271	727
272	272	725
273	273	723
274	273	722
275	274	720
276	275	719
277	276	717
278	277	715
279	277	714
280	278	712
281	279	710
282	280	709
283	280	707
284	281	706
285	282	704
286	283	703
287	283	701
288	284	700
289	285	698
290	286	697
291	286	695
292	287	694
293	288	693
294	289	691
295	290	690
296	290	688
297	291	687
298	292	685
299	293	684
300	293	682
301	294	680
302	295	679
303	296	678
304	296	676
305	297	675
306	298	673
307	299	672
308	300	670
309	300	669
310	301	668
311	302	666
312	303	665
313	303	663
314	304	662
315	305	660
316	306	659
317	306	658
318	307	656
319	308	655
320	309	653
321	309	652
322	310	650
323	311	649
324	312	648
325	312	646
326	313	644
327	314	643
328	314	642
329	315	640
330	316	639
331	317	637
332	317	636
333	318	635
334	319	633
335	320	632
336	320	631
337	321	629
338	322	628
339	323	627
340	323	625
341	324	624
342	325	622
343	325	621
344	326	620
345	327	618
346	328	617
347	328	616
348	329	614
349	330	613
350	331	612
351	331	610
352	332	609
